0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:40:11 -0500] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:40:14 -0500] "GET /store-servlet/api/productStats HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:53:23 -0500] "GET /store-servlet/api/product-suggestions?query=smart HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:53:37 -0500] "GET /store-servlet/api/product-suggestions?query=sm HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:53:43 -0500] "GET /store-servlet/api/product-suggestions?query=lo HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:53:52 -0500] "GET /store-servlet/api/product-suggestions?query=lock HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:56:41 -0500] "GET /store-servlet/api/products HTTP/1.1" 200 6518
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:56:50 -0500] "GET /store-servlet/api/product-suggestions?query=l HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:56:50 -0500] "GET /store-servlet/api/product-suggestions?query=lo HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:56:51 -0500] "GET /store-servlet/api/product-suggestions?query=loc HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:56:52 -0500] "GET /store-servlet/api/product-suggestions?query=lock HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:56:53 -0500] "GET /store-servlet/api/product-suggestions?query=loc HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:56:53 -0500] "GET /store-servlet/api/product-suggestions?query=lo HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:56:54 -0500] "GET /store-servlet/api/product-suggestions?query=l HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:57:43 -0500] "GET /store-servlet/api/product-suggestions?query=s HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:57:43 -0500] "GET /store-servlet/api/product-suggestions?query=sm HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:57:44 -0500] "GET /store-servlet/api/product-suggestions?query=sma HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:57:44 -0500] "GET /store-servlet/api/product-suggestions?query=smar HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:57:44 -0500] "GET /store-servlet/api/product-suggestions?query=smart HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:57:54 -0500] "GET /store-servlet/api/product-suggestions?query=Smart%20Doorbell%20H HTTP/1.1" 200 21
